oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,enriched_at
MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.","Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia a...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:04:52.992685
MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).","Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:04:52.992685
MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.","Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:04:52.992685
MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.","Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto ...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:04:52.992685
MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.","Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:04:52.992685
MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.","Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólic...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:04:52.992685
MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:04:52.992685
MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.","Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pic...",1B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T15:04:52.992685
MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:04:52.992685
MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.","Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y ...",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:04:52.992685
MA01OA11,"Reconocer, describir, crear y continuar patrones repetitivos (sonidos, figuras, ritmos...) y patrones numéricos hasta el 20, crecientes y decrecientes, usando material concreto, pictórico y simbólico, de manera manual y/o por medio de software educativo.","Reconocer, describir, crear y continuar patrones repetitivos (sonidos, figuras, ritmos...) y patrone...",1B,MAT,Recordar,espacial,2023,1,1,4,normal,False,2025-07-07T15:04:52.992685
MA01OA12,"Describir y registrar la igualdad y la desigualdad como equilibrio y desequilibrio, usando una balanza en forma concreta, pictórica y simbólica del 0 al 20, usando el símbolo igual (=).","Describir y registrar la igualdad y la desigualdad como equilibrio y desequilibrio, usando una balan...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:04:52.992685
MA01OA13,"Describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, usando un lenguaje común (como derecha e izquierda).","Describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, us...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:04:52.993681
MA01OA14,"Identificar en el entorno figuras 3D y figuras 2D y relacionarlas, usando material concreto.","Identificar en el entorno figuras 3D y figuras 2D y relacionarlas, usando material concreto.",1B,MAT,Recordar,espacial,2023,1,1,4,normal,False,2025-07-07T15:04:52.993681
MA01OA15,Identificar y dibujar líneas rectas y curvas.,Identificar y dibujar líneas rectas y curvas.,1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:04:52.993681
