oa_code,oa_desc,grade,subject,source_url,scraped_at
MA02OA01,"Contar números del 0 al 1 000 de 2 en 2, de 5 en 5, de 10 en 10 y de 100 en 100, hacia adelante y hacia atrás, empezando por cualquier número menor que 1 000.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.884188
MA02OA02,"Leer números del 0 al 100 y representarlos en forma concreta, pictórica y simbólica.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.884188
MA02OA03,"Comparar y ordenar números del 0 al 100 de menor a mayor y viceversa, usando material concreto y monedas nacionales de manera manual y/o por medio de software educativo.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.885444
MA02OA04,"Estimar cantidades hasta 100 en situaciones concretas, usando un referente.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.885444
MA02OA05,"Componer y descomponer números del 0 a 100 de manera aditiva, en forma concreta, pictórica y simbólica.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.885444
MA02OA06,Describir y aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20:,2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.885444
MA02OA07,"Identificar las unidades y decenas en números del 0 al 100, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.886477
MA02OA08,"Demostrar y explicar de manera concreta, pictórica y simbólica el efecto de sumar y restar 0 a un número.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.886477
MA02OA09,Demostrar que comprende la adición y la sustracción en el ámbito del 0 al 100:,2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.886477
MA02OA10,"Demostrar que comprende la relación entre la adición y la sustracción al usar la ""familia de operaciones"" en cálculos aritméticos y la resolución de problemas.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.886477
MA02OA11,Demostrar que comprende la multiplicación:,2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.886477
MA02OA12,"Crear, representar y continuar una variedad de patrones numéricos y completar los elementos faltantes, de manera manual y/o usando software educativo.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.887505
MA02OA13,"Demostrar, explicar y registrar la igualdad y la desigualdad en forma concreta y pictórica del 0 al 20, usando el símbolo igual (=) y los símbolos no igual (>, <).",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.887505
MA02OA14,"Representar y describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, incluyendo derecha e izquierda y usando material concreto y dibujos.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.887505
MA02OA15,"Describir, comparar y construir figuras 2D (triángulos, cuadrados, rectángulos y círculos) con material concreto.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.888970
MA02OA16,"Describir, comparar y construir figuras 3D (cubos, paralelepípedos, esferas y conos) con diversos materiales.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.888970
MA02OA17,"Identificar días, semanas, meses y fechas en el calendario.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.890473
MA02OA18,"Leer horas y medias horas en relojes digitales, en el contexto de la resolución de problemas.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.890473
MA02OA19,"Determinar la longitud de objetos, usando unidades de medidas no estandarizadas y unidades estandarizadas (cm y m), en el contexto de la resolución de problemas.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.891476
MA02OA20,"Recolectar y registrar datos para responder preguntas estadísticas sobre juegos con monedas y dados, usando bloques y tablas de conteo y pictogramas.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.891476
MA02OA21,"Registrar en tablas y gráficos de barra simple, resultados de juegos aleatorios con dados y monedas.",2B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/2-basico,2025-07-07T16:10:20.891476
